2013-12-01 16:41:23 directory stylesheets/ 
2013-12-01 16:41:36    create stylesheets/app.css 
2013-12-01 23:35:27 overwrite stylesheets/app.css 
2013-12-01 23:35:28    remove .sass-cache/ 
2013-12-01 23:35:28    remove stylesheets/app.css 
2013-12-01 23:35:36    create stylesheets/app.css 
2013-12-02 19:16:11    remove .sass-cache/ 
2013-12-02 19:16:11    remove stylesheets/app.css 
2013-12-02 19:16:23    create stylesheets/app.css 
2013-12-02 19:17:08 identical stylesheets/app.css 
2013-12-02 19:18:19    remove .sass-cache/ 
2013-12-02 19:18:19    remove stylesheets/app.css 
2013-12-02 19:18:25    create stylesheets/app.css 
2013-12-02 19:19:54     error scss/app.scss (Line 612 of scss/_settings.scss: Undefined variable: "$include-html-classes".)
2013-12-02 19:19:54 overwrite stylesheets/app.css 
2013-12-02 19:19:56    remove .sass-cache/ 
2013-12-02 19:19:56    remove stylesheets/app.css 
2013-12-02 19:19:56     error scss/app.scss (Line 612 of scss/_settings.scss: Undefined variable: "$include-html-classes".)
2013-12-02 19:19:56    create stylesheets/app.css 
2013-12-02 19:20:12 overwrite stylesheets/app.css 
2013-12-02 19:23:07 identical stylesheets/app.css 
2013-12-02 19:23:08    remove .sass-cache/ 
2013-12-02 19:23:08    remove stylesheets/app.css 
2013-12-02 19:23:12    create stylesheets/app.css 
2013-12-02 19:24:24 identical stylesheets/app.css 
2013-12-02 19:24:29    remove .sass-cache/ 
2013-12-02 19:24:29    remove stylesheets/app.css 
2013-12-02 19:24:34    create stylesheets/app.css 
2013-12-02 20:11:24 overwrite stylesheets/app.css 
2013-12-02 20:15:08 overwrite stylesheets/app.css 
2013-12-02 20:19:21 overwrite stylesheets/app.css 
2013-12-02 20:19:30 overwrite stylesheets/app.css 
2013-12-02 20:21:37 overwrite stylesheets/app.css 
2013-12-02 20:22:18 overwrite stylesheets/app.css 
2013-12-02 20:22:54 overwrite stylesheets/app.css 
2013-12-02 20:23:03 overwrite stylesheets/app.css 
2013-12-02 20:23:19 overwrite stylesheets/app.css 
2013-12-02 20:23:42 identical stylesheets/app.css 
2013-12-02 20:25:41 overwrite stylesheets/app.css 
2013-12-02 20:27:04 overwrite stylesheets/app.css 
2013-12-02 20:27:56 identical stylesheets/app.css 
2013-12-02 20:28:26 overwrite stylesheets/app.css 
2013-12-02 20:28:33 overwrite stylesheets/app.css 
2013-12-02 20:28:42 overwrite stylesheets/app.css 
2013-12-02 20:28:52 overwrite stylesheets/app.css 
2013-12-02 20:30:08 overwrite stylesheets/app.css 
2013-12-02 20:35:18 overwrite stylesheets/app.css 
2013-12-02 21:24:57 overwrite stylesheets/app.css 
2013-12-02 21:25:02 overwrite stylesheets/app.css 
2013-12-02 21:25:55 overwrite stylesheets/app.css 
2013-12-02 21:26:28    remove .sass-cache/ 
2013-12-02 21:26:28    remove stylesheets/app.css 
2013-12-02 21:26:32    create stylesheets/app.css 
2013-12-02 21:27:12 overwrite stylesheets/app.css 
2013-12-02 21:44:48 overwrite stylesheets/app.css 
2013-12-02 21:45:00 identical stylesheets/app.css 
2013-12-02 21:45:04 overwrite stylesheets/app.css 
2013-12-02 21:50:31 overwrite stylesheets/app.css 
2013-12-02 21:51:43 overwrite stylesheets/app.css 
2013-12-02 21:52:54 overwrite stylesheets/app.css 
2013-12-02 21:54:05 overwrite stylesheets/app.css 
2013-12-02 21:55:55 overwrite stylesheets/app.css 
2013-12-02 22:15:44 overwrite stylesheets/app.css 
2013-12-02 22:16:00 overwrite stylesheets/app.css 
2013-12-02 22:16:26 overwrite stylesheets/app.css 
2013-12-02 22:16:39 overwrite stylesheets/app.css 
